İlçe,Mahalle,Oda Sayısı,Salon Sayısı,Banyo Sayısı,Brüt M2,Kat Sayısı,Bulunduğu Kat,Kat Index,Bina Yaşı,Eşya Durumu,Kullanım Durumu,Doğu,Batı,Kuzey,Güney,Kira
Odunpazarı,Ihlamurkent Mah.,3,1,2,160,4,3,0.75,7,0,0,0,0,1,1,28000
Odunpazarı,Çankaya Mah.,3,1,1,115,5,4,0.8,15,0,0,0,0,1,1,17000
Tepebaşı,Uluönder Mah.,2,1,1,90,5,1,0.2,18,1,0,0,1,1,1,16000
Tepebaşı,Eskibağlar Mah.,3,1,1,135,3,3,1.0,25,0,0,1,1,0,0,13000
Tepebaşı,Ertuğrulgazi Mah.,1,1,1,60,3,1,0.3333333333333333,5,1,0,1,1,0,0,10000
Tepebaşı,Hoşnudiye Mah.,3,1,1,165,7,3,0.42857142857142855,29,0,0,0,0,1,1,25000
Odunpazarı,Emek Mah.,3,1,1,135,4,4,1.0,11,0,0,1,1,0,0,15000
Tepebaşı,Kumlubel Mah.,2,1,1,100,4,1,0.25,8,0,1,1,0,0,1,14500
Odunpazarı,Kurtuluş Mah.,3,1,1,120,3,0,0.0,40,0,0,1,1,0,0,15000
Tepebaşı,Şirintepe Mah.,1,1,1,50,3,1,0.3333333333333333,3,1,0,0,0,1,0,8500
Tepebaşı,Zafer Mah.,2,1,1,110,4,4,1.0,5,0,0,1,0,0,0,15000
Tepebaşı,Güllük Mah.,2,0,1,50,4,1,0.25,13,1,0,1,0,0,0,15000
Odunpazarı,Emek Mah.,3,1,1,135,3,2,0.6666666666666666,4,0,0,1,1,0,0,16000
Odunpazarı,Vişnelik Mah.,2,1,1,105,7,5,0.7142857142857143,28,0,0,0,0,1,1,16000
Tepebaşı,Yenibağlar Mah.,2,1,1,65,4,3,0.75,11,1,0,0,0,0,1,13500
Tepebaşı,Yeşiltepe Mah.,2,1,1,110,3,3,1.0,7,0,0,0,0,1,1,18000
Tepebaşı,Tunalı Mah.,2,1,1,105,3,1,0.3333333333333333,7,0,0,0,0,0,1,14000
Tepebaşı,Bahçelievler Mah.,1,1,1,82,4,3,0.75,7,0,0,1,0,0,1,12900
Tepebaşı,Hoşnudiye Mah.,1,1,1,55,2,1,0.5,15,1,0,1,0,0,0,18000
Odunpazarı,Gültepe Mah.,2,1,1,100,3,0,0.0,10,0,0,0,1,0,1,12000
Tepebaşı,Şirintepe Mah.,1,1,1,45,3,2,0.6666666666666666,15,1,0,1,0,0,0,9000
Odunpazarı,Akarbaşı Mah.,1,1,1,50,3,2,0.6666666666666666,10,1,0,1,0,0,0,10000
Tepebaşı,Hacı Seyit Mah.,2,1,1,110,6,0,0.0,20,0,0,0,0,1,1,13000
Tepebaşı,Şirintepe Mah.,3,1,1,120,4,0,0.0,24,0,0,1,0,0,1,17000
Tepebaşı,Şirintepe Mah.,2,1,2,100,3,3,1.0,1,0,1,1,1,0,0,13500
Tepebaşı,Yeşiltepe Mah.,2,0,2,130,2,2,1.0,9,1,0,0,1,0,0,12500
Odunpazarı,Gökmeydan Mah.,3,1,1,122,7,2,0.2857142857142857,25,0,0,1,0,1,0,19000
Tepebaşı,Bahçelievler Mah.,1,1,1,50,4,4,1.0,15,1,0,1,1,0,0,14000
Odunpazarı,Emek Mah.,2,1,1,115,3,1,0.3333333333333333,4,0,0,1,1,0,0,10000
Tepebaşı,Ertuğrulgazi Mah.,3,1,2,130,4,1,0.25,3,0,0,0,0,1,1,22500
Tepebaşı,Yenibağlar Mah.,1,1,1,60,4,4,1.0,15,1,0,0,0,1,0,15500
Odunpazarı,Vişnelik Mah.,2,1,1,110,4,4,1.0,22,0,0,0,0,0,1,12500
